Original: resolve , predicted 1st: local|directory
Original: get|c|ptr , predicted 1st: compare|to|long
Original: finalize , predicted 1st: do|finalize
Original: delete , predicted 1st: delete
Original: set|vertices , predicted 1st: do|write
Original: reset , predicted 1st: reset
Original: get|c|ptr , predicted 1st: equals
Original: finalize , predicted 1st: do|finalize
Original: delete , predicted 1st: delete
Original: get|child|shape , predicted 1st: contains
Original: reset , predicted 1st: reset|c
Original: get|c|ptr , predicted 1st: get|primitive|value
Original: finalize , predicted 1st: do|finalize
Original: delete , predicted 1st: delete
Original: is|trimesh , predicted 1st: is|primitive
Original: get|primitive|count , predicted 1st: get|age
Original: get|primitive|box , predicted 1st: do|find
Original: get|primitive|triangle , predicted 1st: do|reindex
Original: reset , predicted 1st: reset
Original: get|c|ptr , predicted 1st: get|property
Original: finalize , predicted 1st: do|finalize
Original: delete , predicted 1st: delete
Original: set|values , predicted 1st: increment
Original: get|values , predicted 1st: get
Original: set|pad , predicted 1st: increment
Original: get|pad , predicted 1st: get
Original: create , predicted 1st: test|batch
Original: render , predicted 1st: test|batch
Original: dispose , predicted 1st: do|call
Original: draw , predicted 1st: do|find
Original: get|color , predicted 1st: get|color
Original: set|color , predicted 1st: set|color
Original: to|string , predicted 1st: get|jsp|name
Original: get|values , predicted 1st: get|values
Original: set|values , predicted 1st: set|values
Original: create , predicted 1st: test|batch
Original: render , predicted 1st: test|empty
Original: dispose , predicted 1st: do|close
Original: play , predicted 1st: do|upgrade
Original: pause , predicted 1st: close
Original: stop , predicted 1st: do|upgrade
Original: is|playing , predicted 1st: is|mutable
Original: set|looping , predicted 1st: set|checked
Original: is|looping , predicted 1st: is|show
Original: set|volume , predicted 1st: set|volume
Original: get|volume , predicted 1st: get|max|bytes
Original: set|pan , predicted 1st: set|my|overflow
Original: set|position , predicted 1st: set|position
Original: get|position , predicted 1st: get|max|float
Original: dispose , predicted 1st: close
Original: set|on|completion|listener , predicted 1st: on|completion|on|completion
Original: extend|stack , predicted 1st: resize
Original: pop , predicted 1st: get
Original: push , predicted 1st: set|index
Original: capacity , predicted 1st: get|capacity
Original: clear , predicted 1st: mark
Original: flip , predicted 1st: mark
Original: has|remaining , predicted 1st: is|limit
Original: limit , predicted 1st: get|limit
Original: limit , predicted 1st: mark
Original: mark , predicted 1st: mark
Original: position , predicted 1st: get|position
Original: position , predicted 1st: mark
Original: remaining , predicted 1st: get|limit
Original: reset , predicted 1st: mark
Original: rewind , predicted 1st: mark
Original: reset , predicted 1st: reset|c
Original: get|c|ptr , predicted 1st: get|property
Original: finalize , predicted 1st: do|finalize
Original: delete , predicted 1st: delete
Original: set|root|node|index , predicted 1st: increment
Original: get|root|node|index , predicted 1st: get
Original: set|subtree|size , predicted 1st: increment
Original: get|subtree|size , predicted 1st: get
Original: set|quantized|aabb|min , predicted 1st: add
Original: get|quantized|aabb|min , predicted 1st: get|data|data
Original: set|quantized|aabb|max , predicted 1st: add
Original: get|quantized|aabb|max , predicted 1st: get|data|data
Original: update|relative , predicted 1st: set|delta
Original: get|amount , predicted 1st: get|amount
Original: set|amount , predicted 1st: set|amount
Original: spawn|aux , predicted 1st: set|next
Original: copy , predicted 1st: clone
Original: filter , predicted 1st: visit
Original: initialize , predicted 1st: set
Original: reset , predicted 1st: add
Original: get|c|ptr , predicted 1st: get|bytes
Original: finalize , predicted 1st: do|finalize
Original: delete , predicted 1st: delete
Original: set|angle , predicted 1st: set
Original: get|angle , predicted 1st: get|float
Original: set|org|index , predicted 1st: set|some
Original: get|org|index , predicted 1st: get|index
Original: reset , predicted 1st: reset
Original: get|c|ptr , predicted 1st: get|first|point
Original: finalize , predicted 1st: do|finalize
Original: delete , predicted 1st: delete
Original: set|type|constraint|data , predicted 1st: do|get|value
Original: get|type|constraint|data , predicted 1st: get|null
Original: set|pivot|in|a , predicted 1st: do|value
Original: get|pivot|in|a , predicted 1st: get|float
Original: set|pivot|in|b , predicted 1st: do|float|point
Original: get|pivot|in|b , predicted 1st: get|float
Original: reset , predicted 1st: reset
Original: get|c|ptr , predicted 1st: get|first|value
Original: finalize , predicted 1st: do|finalize
Original: delete , predicted 1st: delete
Original: set|dof|data , predicted 1st: do|process
Original: get|dof|data , predicted 1st: get|value
Original: set|spring|enabled , predicted 1st: valid|order
Original: get|spring|enabled , predicted 1st: c
Original: set|equilibrium|point , predicted 1st: visit|order
Original: get|equilibrium|point , predicted 1st: c
Original: set|spring|stiffness , predicted 1st: visit|order
Original: get|spring|stiffness , predicted 1st: c
Original: set|spring|damping , predicted 1st: visit|valid|order
Original: get|spring|damping , predicted 1st: c
Original: get , predicted 1st: get|long
Original: get , predicted 1st: get|index
Original: get , predicted 1st: read
Original: is|direct , predicted 1st: is|mutable
Original: order , predicted 1st: get|order
Original: run , predicted 1st: scroll
Original: run , predicted 1st: scroll
Original: setup , predicted 1st: set|min
Original: get|scroll|pixels , predicted 1st: run
Original: drag , predicted 1st: schedule
Original: drag|stop , predicted 1st: cancel
Original: reset , predicted 1st: reset
Original: get|c|ptr , predicted 1st: get
Original: finalize , predicted 1st: do|finalize
Original: delete , predicted 1st: delete|all
Original: set|transform , predicted 1st: do|execute
Original: get|transform , predicted 1st: get|primitive
Original: set|child|shape , predicted 1st: do|value
Original: get|child|shape , predicted 1st: get|test|case
Original: set|child|shape|type , predicted 1st: add|child|child
Original: get|child|shape|type , predicted 1st: get|child|child|child
Original: set|child|margin , predicted 1st: child|child
Original: get|child|margin , predicted 1st: child
Original: set|node , predicted 1st: do|value
Original: get|node , predicted 1st: get|first
Original: dispose , predicted 1st: stop
Original: read , predicted 1st: read
Original: set , predicted 1st: to|external
Original: set , predicted 1st: set|color
Original: is|zero , predicted 1st: is|empty
Original: set , predicted 1st: set|g
Original: is|done , predicted 1st: is|done
Original: get , predicted 1st: get
Original: test|to|string , predicted 1st: test|subtract
Original: test|from|string , predicted 1st: test|parse
Original: contains|key , predicted 1st: contains
Original: get , predicted 1st: get
Original: get , predicted 1st: get
Original: get , predicted 1st: get
Original: put , predicted 1st: put
Original: put|all , predicted 1st: set|properties|properties
Original: remove , predicted 1st: remove|property
Original: clear , predicted 1st: clear|properties
Original: get|keys , predicted 1st: get|properties
Original: get|values , predicted 1st: get|properties
Original: reset , predicted 1st: reset
Original: get|c|ptr , predicted 1st: get|object
Original: finalize , predicted 1st: do|finalize
Original: delete , predicted 1st: delete|info
Original: set|time|step , predicted 1st: set|info|info
Original: get|time|step , predicted 1st: get|info|info
Original: set|step|count , predicted 1st: set|info|info
Original: get|step|count , predicted 1st: get|info|info
Original: set|dispatch|func , predicted 1st: info|internal
Original: get|dispatch|func , predicted 1st: get|info
Original: set|time|of|impact , predicted 1st: info|info
Original: get|time|of|impact , predicted 1st: get|info|info
Original: set|use|continuous , predicted 1st: set|info|info
Original: get|use|continuous , predicted 1st: is|info|info
Original: set|debug|draw , predicted 1st: info
Original: get|debug|draw , predicted 1st: get|info
Original: set|enable|sat|convex , predicted 1st: apply
Original: get|enable|sat|convex , predicted 1st: is|enable
Original: set|enable|spu , predicted 1st: add|info
Original: get|enable|spu , predicted 1st: is|null|info
Original: set|use|epa , predicted 1st: set|include|info
Original: get|use|epa , predicted 1st: is|info|info
Original: set|allowed|ccd|penetration , predicted 1st: info
Original: get|allowed|ccd|penetration , predicted 1st: is|info|info|info
Original: set|use|convex|conservative|distance|util , predicted 1st: apply|info
Original: get|use|convex|conservative|distance|util , predicted 1st: is|info|info
Original: set|convex|conservative|distance|threshold , predicted 1st: info|info
Original: get|convex|conservative|distance|threshold , predicted 1st: get|info|info
Original: get|display|modes , predicted 1st: get|supported|mode
Original: get|desktop|display|mode , predicted 1st: get|display|mode
Original: reset , predicted 1st: check
Original: get|c|ptr , predicted 1st: equals
Original: finalize , predicted 1st: do|finalize
Original: delete , predicted 1st: delete
Original: set|points , predicted 1st: mutate
Original: set|points , predicted 1st: mutate|points
Original: set|points , predicted 1st: points|points
Original: get|unscaled|points , predicted 1st: get|greater
Original: get|num|points , predicted 1st: point|point|point
Original: get|scaled|point , predicted 1st: point|point
Original: reset , predicted 1st: reset
Original: get|c|ptr , predicted 1st: get
Original: finalize , predicted 1st: do|finalize
Original: delete , predicted 1st: delete
Original: swig|director|disconnect , predicted 1st: clear|c|case
Original: swig|release|ownership , predicted 1st: test|empty
Original: swig|take|ownership , predicted 1st: increment
Original: internal|process|triangle|index , predicted 1st: do|execute
Original: init , predicted 1st: increment
Original: update , predicted 1st: set
Original: update , predicted 1st: set|size
Original: update|byte , predicted 1st: set|value
Original: get|digest , predicted 1st: get|value
Original: get|c|ptr , predicted 1st: get|property
Original: get|loaded|music , predicted 1st: get|favourite
Original: load|async , predicted 1st: new|file
Original: load|sync , predicted 1st: do|process|file
Original: get|dependencies , predicted 1st: get|asset|descriptor
Original: reset , predicted 1st: reset|c
Original: get|c|ptr , predicted 1st: get|default|result
Original: finalize , predicted 1st: do|finalize
Original: delete , predicted 1st: delete
Original: swig|director|disconnect , predicted 1st: clear|c
Original: swig|release|ownership , predicted 1st: test|change|on
Original: swig|take|ownership , predicted 1st: test|change
Original: set|collision|filter|group , predicted 1st: add|result
Original: get|collision|filter|group , predicted 1st: completed|result
Original: set|collision|filter|mask , predicted 1st: add|result
Original: get|collision|filter|mask , predicted 1st: get|completed|result
Original: needs|collision , predicted 1st: completed|completed
Original: add|single|result , predicted 1st: add|single|master|callback
Original: gl|viewport , predicted 1st: set|height
Original: get|c|ptr , predicted 1st: compare
Original: get|c|ptr , predicted 1st: get|property
Original: get|c|ptr , predicted 1st: get|property
Original: reset , predicted 1st: reset
Original: get|c|ptr , predicted 1st: get|property
Original: finalize , predicted 1st: do|finalize
Original: delete , predicted 1st: delete
Original: size , predicted 1st: size|array
Original: at , predicted 1st: get|instance
Original: clear , predicted 1st: reset
Original: pop|back , predicted 1st: pop|pop
Original: resize|no|initialize , predicted 1st: increment
Original: resize , predicted 1st: do|data
Original: resize , predicted 1st: increment
Original: expand|non|initializing , predicted 1st: test
Original: expand , predicted 1st: do|copy
Original: expand , predicted 1st: test
Original: push|back , predicted 1st: push
Original: capacity , predicted 1st: get|int
Original: reserve , predicted 1st: increment|object
Original: reset , predicted 1st: reset
Original: get|c|ptr , predicted 1st: get|property
Original: finalize , predicted 1st: do|finalize
Original: delete , predicted 1st: delete
Original: swap , predicted 1st: increment
Original: find|binary|search , predicted 1st: get
Original: find|linear|search , predicted 1st: get
Original: remove , predicted 1st: remove|object
Original: initialize|from|buffer , predicted 1st: initialize|with|object
Original: copy|from|array , predicted 1st: array|array
Original: new|instance , predicted 1st: new
Original: new|array , predicted 1st: get|random|blocks
Original: new|instance , predicted 1st: new
Original: new|array , predicted 1st: get|contact|contact
Original: new|instance , predicted 1st: new
Original: new|array , predicted 1st: random|random|watch
Original: new|instance , predicted 1st: new
Original: new|array , predicted 1st: size
Original: new|instance , predicted 1st: new
Original: new|array , predicted 1st: new|files
Original: new|instance , predicted 1st: new
Original: new|array , predicted 1st: calculate|and|and
Original: new|instance , predicted 1st: new
Original: new|array , predicted 1st: new|and|contents
Original: new|instance , predicted 1st: new
Original: new|instance , predicted 1st: new
Original: new|instance , predicted 1st: new
Original: new|instance , predicted 1st: new
Original: new|instance , predicted 1st: new
Original: new|instance , predicted 1st: new
Original: get|poly|contact|stack , predicted 1st: get|wrapped
Original: get|circle|contact|stack , predicted 1st: get|wrapped
Original: get|poly|circle|contact|stack , predicted 1st: get|comparator
Original: get|edge|circle|contact|stack , predicted 1st: get|wrapped|service
Original: get|edge|poly|contact|stack , predicted 1st: get|wrapped|service
Original: get|chain|circle|contact|stack , predicted 1st: get|wrapped|service
Original: get|chain|poly|contact|stack , predicted 1st: get|wrapped
Original: pop|vec , predicted 1st: pop
Original: pop|vec , predicted 1st: pop
Original: push|vec , predicted 1st: push|method
Original: pop|vec , predicted 1st: pop
Original: pop|vec , predicted 1st: pop
Original: push|vec , predicted 1st: push
Original: pop|mat , predicted 1st: pop
Original: pop|mat , predicted 1st: pop
Original: push|mat , predicted 1st: push
Original: pop|mat , predicted 1st: pop
Original: push|mat , predicted 1st: push
Original: pop|aabb , predicted 1st: pop
Original: pop|aabb , predicted 1st: pop
Original: push|aabb , predicted 1st: push
Original: pop|rot , predicted 1st: pop
Original: push|rot , predicted 1st: push
Original: get|collision , predicted 1st: get
Original: get|time|of|impact , predicted 1st: get
Original: get|distance , predicted 1st: get
Original: get|float|array , predicted 1st: get|with|empty
Original: get|int|array , predicted 1st: get|with|empty|method|length
Original: get|vec|array , predicted 1st: get|with|empty|arg
Original: get|context , predicted 1st: get|context|context
Original: get|gl , predicted 1st: get
Original: get|width , predicted 1st: get|width
Original: get|height , predicted 1st: get|height
Original: get|frame|id , predicted 1st: get|frame|id
Original: get|delta|time , predicted 1st: get|delta|time
Original: get|frames|per|second , predicted 1st: hash|code
Original: get|type , predicted 1st: get|type
Original: get|ppi|x , predicted 1st: get|weight|in|bytes
Original: get|ppi|y , predicted 1st: get|weight
Original: get|ppc|x , predicted 1st: get|weight
Original: get|ppc|y , predicted 1st: get|weight
Original: supports|display|mode|change , predicted 1st: supports
Original: get|display|modes , predicted 1st: get|display|mode
Original: fullscreen|changed , predicted 1st: init
Original: get|desktop|display|mode , predicted 1st: get|display|mode
Original: set|display|mode , predicted 1st: is|visible
Original: set|display|mode , predicted 1st: set|height
Original: get|buffer|format , predicted 1st: get|buffer|buffer
Original: supports|extension , predicted 1st: is|extensions
Original: update , predicted 1st: reset|time
Original: set|title , predicted 1st: set|title
Original: set|v|sync , predicted 1st: set
Original: get|density , predicted 1st: get|weight
Original: set|continuous|rendering , predicted 1st: set|check
Original: is|continuous|rendering , predicted 1st: is|singleton
Original: request|rendering , predicted 1st: close
Original: get|raw|delta|time , predicted 1st: get|memory|time
Original: is|fullscreen , predicted 1st: is|token
Original: is|gl|available , predicted 1st: is|mutable
Original: get|gl , predicted 1st: get|parent
Original: new|cursor , predicted 1st: compare
Original: set|cursor , predicted 1st: cursor
Original: mouse|clicked , predicted 1st: check|all
Original: is|inside|region , predicted 1st: add
Original: set|texture , predicted 1st: set
Original: get|texture , predicted 1st: get
Original: clear , predicted 1st: clear
Original: clear|selection , predicted 1st: clear|all
Original: set|regions , predicted 1st: clear|all
Original: swap , predicted 1st: add|index
Original: select , predicted 1st: set|regions
Original: unselect , predicted 1st: set|regions
Original: select|all , predicted 1st: clear|all
Original: paint|component , predicted 1st: do|find|by|g
Original: draw , predicted 1st: do|process
Original: reset , predicted 1st: reset
Original: get|c|ptr , predicted 1st: get|first|value
Original: finalize , predicted 1st: do|finalize
Original: delete , predicted 1st: delete
Original: swig|constructbt|triangle|index|vertex|material|array , predicted 1st: index|index|index
Original: add|material|properties , predicted 1st: compare
Original: add|material|properties , predicted 1st: check
Original: get|locked|material|base , predicted 1st: compare
Original: get|locked|material|base , predicted 1st: compare|find|u
Original: get|locked|read|only|material|base , predicted 1st: compare
Original: get|locked|read|only|material|base , predicted 1st: validate
Original: create , predicted 1st: init
Original: render , predicted 1st: do|execute
Original: create , predicted 1st: test|request
Original: handle|http|response , predicted 1st: execute
Original: run , predicted 1st: test|empty|with|empty
Original: failed , predicted 1st: download|test
Original: cancelled , predicted 1st: test|stop
Original: render , predicted 1st: do|execute
Original: get|default|vertex|shader , predicted 1st: get|default
Original: get|default|fragment|shader , predicted 1st: get|default|default|query
Original: get|c|ptr , predicted 1st: get|long
Original: reset , predicted 1st: reset
Original: get|c|ptr , predicted 1st: get|object
Original: finalize , predicted 1st: do|finalize
Original: delete , predicted 1st: delete
Original: set|bvh|aabb|min , predicted 1st: do|copy
Original: get|bvh|aabb|min , predicted 1st: get|value
Original: set|bvh|aabb|max , predicted 1st: do|value
Original: get|bvh|aabb|max , predicted 1st: get|float
Original: set|bvh|quantization , predicted 1st: do|value
Original: get|bvh|quantization , predicted 1st: get|value
Original: set|cur|node|index , predicted 1st: increment
Original: get|cur|node|index , predicted 1st: get
Original: set|use|quantization , predicted 1st: increment
Original: get|use|quantization , predicted 1st: get
Original: set|num|contiguous|leaf|nodes , predicted 1st: increment
Original: get|num|contiguous|leaf|nodes , predicted 1st: get
Original: set|num|quantized|contiguous|nodes , predicted 1st: increment
Original: get|num|quantized|contiguous|nodes , predicted 1st: get
Original: set|contiguous|nodes|ptr , predicted 1st: do|set|float
Original: get|contiguous|nodes|ptr , predicted 1st: get|float
Original: set|quantized|contiguous|nodes|ptr , predicted 1st: do|set|value
Original: get|quantized|contiguous|nodes|ptr , predicted 1st: get|first
Original: set|sub|tree|info|ptr , predicted 1st: do|value
Original: get|sub|tree|info|ptr , predicted 1st: get|data|data|data
Original: set|traversal|mode , predicted 1st: increment
Original: get|traversal|mode , predicted 1st: get
Original: set|num|subtree|headers , predicted 1st: increment
Original: get|num|subtree|headers , predicted 1st: get
Original: reset , predicted 1st: reset
Original: get|c|ptr , predicted 1st: get|object
Original: finalize , predicted 1st: do|finalize
Original: delete , predicted 1st: delete
Original: get|info|non|virtual , predicted 1st: add|constraint|info
Original: get|info|non|virtual , predicted 1st: add|auth|info
Original: get|rigid|body|a , predicted 1st: get|instance
Original: get|rigid|body|b , predicted 1st: get|instance
Original: get|calculated|transform|a , predicted 1st: get
Original: get|calculated|transform|b , predicted 1st: get
Original: get|frame|offset|a , predicted 1st: get|actual|status
Original: get|frame|offset|b , predicted 1st: get|actual
Original: get|lower|lin|limit , predicted 1st: get|lower|lower
Original: set|lower|lin|limit , predicted 1st: lower|lower
Original: get|upper|lin|limit , predicted 1st: get|some|term
Original: set|upper|lin|limit , predicted 1st: some|limit
Original: get|lower|ang|limit , predicted 1st: get|lower
Original: set|lower|ang|limit , predicted 1st: lower|limit
Original: get|upper|ang|limit , predicted 1st: get|some
Original: set|upper|ang|limit , predicted 1st: some|limit
Original: get|use|linear|reference|frame|a , predicted 1st: is|valid
Original: get|softness|dir|lin , predicted 1st: get
Original: get|restitution|dir|lin , predicted 1st: get
Original: get|damping|dir|lin , predicted 1st: get|some
Original: get|softness|dir|ang , predicted 1st: get|float
Original: get|restitution|dir|ang , predicted 1st: get|float
Original: get|damping|dir|ang , predicted 1st: get|some
Original: get|softness|lim|lin , predicted 1st: get
Original: get|restitution|lim|lin , predicted 1st: get
Original: get|damping|lim|lin , predicted 1st: get|some
Original: get|softness|lim|ang , predicted 1st: get
Original: get|restitution|lim|ang , predicted 1st: get|float
Original: get|damping|lim|ang , predicted 1st: get|float
Original: get|softness|ortho|lin , predicted 1st: get
Original: get|restitution|ortho|lin , predicted 1st: get
Original: get|damping|ortho|lin , predicted 1st: get|some
Original: get|softness|ortho|ang , predicted 1st: get
Original: get|restitution|ortho|ang , predicted 1st: get|float
Original: get|damping|ortho|ang , predicted 1st: get
Original: set|softness|dir|lin , predicted 1st: set|some
Original: set|restitution|dir|lin , predicted 1st: set
Original: set|damping|dir|lin , predicted 1st: set|nested
Original: set|softness|dir|ang , predicted 1st: execute
Original: set|restitution|dir|ang , predicted 1st: execute
Original: set|damping|dir|ang , predicted 1st: execute
Original: set|softness|lim|lin , predicted 1st: not|each
Original: set|restitution|lim|lin , predicted 1st: not
Original: set|damping|lim|lin , predicted 1st: not
Original: set|softness|lim|ang , predicted 1st: not|nested
Original: set|restitution|lim|ang , predicted 1st: set|some
Original: set|damping|lim|ang , predicted 1st: some
Original: set|softness|ortho|lin , predicted 1st: not
Original: set|restitution|ortho|lin , predicted 1st: not|each
Original: set|damping|ortho|lin , predicted 1st: not
Original: set|softness|ortho|ang , predicted 1st: not
Original: set|restitution|ortho|ang , predicted 1st: set|some
Original: set|damping|ortho|ang , predicted 1st: not
Original: set|powered|lin|motor , predicted 1st: set|on
Original: get|powered|lin|motor , predicted 1st: is
Original: set|target|lin|motor|velocity , predicted 1st: set|target|target
Original: get|target|lin|motor|velocity , predicted 1st: get|target
Original: set|max|lin|motor|force , predicted 1st: set|max
Original: get|max|lin|motor|force , predicted 1st: get|some
Original: set|powered|ang|motor , predicted 1st: on
Original: get|powered|ang|motor , predicted 1st: is|empty
Original: set|target|ang|motor|velocity , predicted 1st: set|target|target
Original: get|target|ang|motor|velocity , predicted 1st: get|some
Original: set|max|ang|motor|force , predicted 1st: force
Original: get|max|ang|motor|force , predicted 1st: get|some
Original: get|linear|pos , predicted 1st: get|some
Original: get|angular|pos , predicted 1st: get|some
Original: get|solve|lin|limit , predicted 1st: is|c
Original: get|lin|depth , predicted 1st: get
Original: get|solve|ang|limit , predicted 1st: is|case
Original: get|ang|depth , predicted 1st: get
Original: calculate|transforms , predicted 1st: do|execute
Original: test|lin|limits , predicted 1st: test|not
Original: test|ang|limits , predicted 1st: test|case|case
Original: get|ancor|in|a , predicted 1st: get
Original: get|ancor|in|b , predicted 1st: get
Original: get|use|frame|offset , predicted 1st: is|valid
Original: set|use|frame|offset , predicted 1st: set|on|response
Original: set|frames , predicted 1st: visit
Original: set|param , predicted 1st: set|int|param
Original: set|param , predicted 1st: set|int
Original: get|param , predicted 1st: get|param
Original: get|param , predicted 1st: get|param
Original: init , predicted 1st: init
Original: evaluate , predicted 1st: execute
Original: set|value , predicted 1st: set|value
Original: initialize|components , predicted 1st: test|check|check|check
Original: action|performed , predicted 1st: set|current
Original: initialize , predicted 1st: do|get
Original: set , predicted 1st: set|model
Original: set , predicted 1st: set|attributes
Original: set , predicted 1st: assert|attribute
Original: set , predicted 1st: set|attributes
Original: set , predicted 1st: set|attributes
Original: set , predicted 1st: visit|resource
Original: set , predicted 1st: visit
Original: set , predicted 1st: add
Original: set , predicted 1st: add|attribute
Original: get|default|vertex|shader , predicted 1st: get|default|default|default
Original: get|default|fragment|shader , predicted 1st: get|default|fragment
Original: create|prefix , predicted 1st: create|prefix
Original: render , predicted 1st: set|attributes
Original: can|render , predicted 1st: on|process
Original: reset , predicted 1st: reset|c
Original: get|c|ptr , predicted 1st: get|object
Original: finalize , predicted 1st: do|finalize
Original: delete , predicted 1st: delete
Original: set|collision|shape|data , predicted 1st: do|value
Original: get|collision|shape|data , predicted 1st: get
Original: set|mesh|interface , predicted 1st: do|value
Original: get|mesh|interface , predicted 1st: get|value
Original: set|quantized|float|bvh , predicted 1st: do|value
Original: get|quantized|float|bvh , predicted 1st: get|boolean
Original: set|quantized|double|bvh , predicted 1st: do|value
Original: get|quantized|double|bvh , predicted 1st: get|value
Original: set|triangle|info|map , predicted 1st: do|value
Original: get|triangle|info|map , predicted 1st: get|data|data
Original: set|collision|margin , predicted 1st: increment
Original: get|collision|margin , predicted 1st: value
Original: set|pad , predicted 1st: do|to
Original: get|pad , predicted 1st: get
Original: allocate , predicted 1st: get|buffer
Original: wrap , predicted 1st: wrap
Original: wrap , predicted 1st: set|limit
Original: array , predicted 1st: get|array|array
Original: array|offset , predicted 1st: get|offset|array
Original: compare|to , predicted 1st: compare|to
Original: equals , predicted 1st: equals
Original: get , predicted 1st: get
Original: get , predicted 1st: read
Original: has|array , predicted 1st: is|empty
Original: hash|code , predicted 1st: hash|code
Original: put , predicted 1st: add|src
Original: put , predicted 1st: read
Original: put , predicted 1st: copy
Original: to|string , predicted 1st: to|string
Original: render , predicted 1st: execute
Original: pause , predicted 1st: test|exit
Original: dispose , predicted 1st: test|exit
Original: dispose , predicted 1st: test|id
Original: play , predicted 1st: get|mvcc
Original: play , predicted 1st: create
Original: stop , predicted 1st: test|that|ids
Original: stop , predicted 1st: stop
Original: pause , predicted 1st: auto|close
Original: pause , predicted 1st: pause
Original: resume , predicted 1st: auto|auto|resume
Original: resume , predicted 1st: resume
Original: set|pitch , predicted 1st: set|rate
Original: set|volume , predicted 1st: set
Original: loop , predicted 1st: get|number
Original: loop , predicted 1st: create|stream
Original: set|looping , predicted 1st: set|id
Original: set|pan , predicted 1st: subtract
Original: play , predicted 1st: test
Original: loop , predicted 1st: compare
Original: set|priority , predicted 1st: set|priority
Original: create , predicted 1st: do|convert|to
Original: render , predicted 1st: execute
Original: resize , predicted 1st: update
Original: dispose , predicted 1st: do|call
Original: main , predicted 1st: main
Original: get|c|ptr , predicted 1st: compare|to|long
Original: put|boolean , predicted 1st: put
Original: put|integer , predicted 1st: put
Original: put|long , predicted 1st: put
Original: put|float , predicted 1st: put
Original: put|string , predicted 1st: put
Original: put , predicted 1st: put
Original: get|boolean , predicted 1st: get|boolean
Original: get|integer , predicted 1st: get|integer
Original: get|long , predicted 1st: get|long
Original: get|float , predicted 1st: get|float
Original: get|string , predicted 1st: get|string
Original: get|boolean , predicted 1st: get|boolean
Original: get|integer , predicted 1st: get|property
Original: get|long , predicted 1st: get|long
Original: get|float , predicted 1st: get|property
Original: get|string , predicted 1st: get|property
Original: get , predicted 1st: parse|map
Original: contains , predicted 1st: contains
